archivo;titulo;actual;estado;nuevo_modulo;nuevo_submodulo;nuevo_subtopic;motivo
cita-previa/15-url-s-de-kiosko-pantallas-centrales-kiosko-stop-go-etc.md;Url´s de kiosko, pantallas centrales, kiosko stop&go, etc;Cita previa > General;MAPEADO;Tareas;Tareas;;modulo-de-tareas/validador-retail
cita-previa/4-servicios.md;Servicios;Cita previa > General;MAPEADO;Tareas;Tareas;;modulo-de-tareas/tareas-para-el-administrador/4-procesos
cita-previa/herramienta-de-cita-previa.md;Herramienta de Cita previa;Cita previa > General;SIN MAPEAR;Pendiente de revisión;;;Sin categoría legacy (guía editorial, prueba o sin origen conocido)
cita-previa/tareas-app.md;Tareas APP;Cita previa > General;SIN MAPEAR;Pendiente de revisión;;;Ya está en App móvil (posible duplicado) [app/trabajador-app/4-tareas]
configuracion-y-cuenta/1-10-configuracion-de-jornadas.md;Configuración de jornadas;Configuración y cuenta > General;SUBNIVEL PENDIENTE;Nóminas;Pendiente de revisión;;administrador/administrar/exportacion-nominas/1-configuracion-general-exportacion-nominas
configuracion-y-cuenta/1-3-inicio-widgets.md;Inicio (Widgets);Configuración y cuenta > Roles y permisos;SIN MAPEAR;Pendiente de revisión;;;Categoría legacy sin regla: administrador/inicio [administrador/inicio]
configuracion-y-cuenta/1-configuracion-general.md;Configuración general;Configuración y cuenta > General;SUBNIVEL PENDIENTE;Nóminas;Pendiente de revisión;;nominas/administradorrrhh
configuracion-y-cuenta/1-informe-control-legal.md;Informe control legal;Configuración y cuenta > Roles y permisos;MAPEADO;Gestión de RR.HH.;Control horario de equipos;;control-horario/rrhh-control-horario/9-control-legal
configuracion-y-cuenta/10-la-preparacion-de-los-puestos.md;La preparación de los puestos;Configuración y cuenta > General;MAPEADO;Tareas;Tareas;;modulo-de-tareas/validador-retail
configuracion-y-cuenta/2-6-ajustes.md;Ajustes en aTurnos;Configuración y cuenta > Vacaciones y ausencias;MAPEADO;Gestión de RR.HH.;Registros;;rrhh/rrhh-registros
configuracion-y-cuenta/24-importacion-de-ajustes-coeficiente-de-horas.md;Importación de Ajustes-Coeficiente de Horas;Configuración y cuenta > Usuarios y perfiles;SIN MAPEAR;Pendiente de revisión;;;Categoría legacy sin regla: administrador/administrar/importar-exportar/importar [administrador/administrar/importar-exportar/importar]
configuracion-y-cuenta/4-ajustar-guardias-localizadas.md;Ajustar guardias localizadas;Configuración y cuenta > Roles y permisos;MAPEADO;Control horario;Guardias localizadas;;control-horario/rrhh-control-horario/4-ajustar-guardias-localizadas
configuracion-y-cuenta/5-12-ajustes-automaticos.md;Ajustes automáticos;Configuración y cuenta > Equipo y centros;MAPEADO;Control horario;Configuración del control horario;;control-horario/control-de-presencia-administrador/configuracion-control-de-presencia
configuracion-y-cuenta/5-3-descansos.md;Descansos;Configuración y cuenta > Roles y permisos;MAPEADO;Control horario;Configuración del control horario;;control-horario/control-de-presencia-administrador/configuracion-control-de-presencia
configuracion-y-cuenta/5-8-configuracion-de-guardias.md;Configuración de guardias;Configuración y cuenta > Roles y permisos;MAPEADO;Control horario;Configuración del control horario;;control-horario/control-de-presencia-administrador/configuracion-control-de-presencia
configuracion-y-cuenta/6-6-configuracion.md;Configuración;Configuración y cuenta > General;MAPEADO;Reportes estadísticos;Por defecto;;administrador/estadisticas
